
Epoch 1/100, Training Loss: 89.4744, Relative Loss: 16.4163
Epoch 11/100, Training Loss: 0.7685, Relative Loss: 0.1410
Epoch 21/100, Training Loss: 0.6301, Relative Loss: 0.1156
Epoch 31/100, Training Loss: 0.5716, Relative Loss: 0.1049
Epoch 41/100, Training Loss: 0.5317, Relative Loss: 0.0976
Epoch 51/100, Training Loss: 0.5082, Relative Loss: 0.0932
Epoch 61/100, Training Loss: 0.4836, Relative Loss: 0.0887
Epoch 71/100, Training Loss: 0.4637, Relative Loss: 0.0851
Epoch 81/100, Training Loss: 0.4516, Relative Loss: 0.0829
Epoch 91/100, Training Loss: 0.4377, Relative Loss: 0.0803
Test Loss: 0.4820, Relative Loss: 0.0884
