
Epoch 1/100, Training Loss: 0.0908, Relative Loss: 0.1501
Epoch 11/100, Training Loss: 0.0117, Relative Loss: 0.0193
Epoch 21/100, Training Loss: 0.0067, Relative Loss: 0.0111
Epoch 31/100, Training Loss: 0.0054, Relative Loss: 0.0089
Epoch 41/100, Training Loss: 0.0047, Relative Loss: 0.0077
Epoch 51/100, Training Loss: 0.0041, Relative Loss: 0.0068
Epoch 61/100, Training Loss: 0.0038, Relative Loss: 0.0063
Epoch 71/100, Training Loss: 0.0036, Relative Loss: 0.0059
Epoch 81/100, Training Loss: 0.0034, Relative Loss: 0.0056
Epoch 91/100, Training Loss: 0.0032, Relative Loss: 0.0053
Test Loss: 0.0026, Relative Loss: 0.0042
