
Epoch 1/100, Training Loss: 1284.7783, Relative Loss: 89.9855
Epoch 11/100, Training Loss: 3.0582, Relative Loss: 0.2142
Epoch 21/100, Training Loss: 2.1455, Relative Loss: 0.1503
Epoch 31/100, Training Loss: 1.9136, Relative Loss: 0.1340
Epoch 41/100, Training Loss: 1.8354, Relative Loss: 0.1286
Epoch 51/100, Training Loss: 1.7651, Relative Loss: 0.1236
Epoch 61/100, Training Loss: 1.7020, Relative Loss: 0.1192
Epoch 71/100, Training Loss: 1.6281, Relative Loss: 0.1140
Epoch 81/100, Training Loss: 1.5809, Relative Loss: 0.1107
Epoch 91/100, Training Loss: 1.5389, Relative Loss: 0.1078
Test Loss: 1.4220, Relative Loss: 0.0996
