
Epoch 1/100, Training Loss: 0.0962, Relative Loss: 0.3586
Epoch 11/100, Training Loss: 0.0034, Relative Loss: 0.0128
Epoch 21/100, Training Loss: 0.0026, Relative Loss: 0.0097
Epoch 31/100, Training Loss: 0.0022, Relative Loss: 0.0083
Epoch 41/100, Training Loss: 0.0020, Relative Loss: 0.0074
Epoch 51/100, Training Loss: 0.0018, Relative Loss: 0.0069
Epoch 61/100, Training Loss: 0.0017, Relative Loss: 0.0065
Epoch 71/100, Training Loss: 0.0016, Relative Loss: 0.0061
Epoch 81/100, Training Loss: 0.0016, Relative Loss: 0.0058
Epoch 91/100, Training Loss: 0.0015, Relative Loss: 0.0057
Test Loss: 0.0015, Relative Loss: 0.0054
