
Epoch 1/100, Training Loss: 0.0144, Relative Loss: 0.1732
Epoch 11/100, Training Loss: 0.0030, Relative Loss: 0.0362
Epoch 21/100, Training Loss: 0.0024, Relative Loss: 0.0294
Epoch 31/100, Training Loss: 0.0022, Relative Loss: 0.0264
Epoch 41/100, Training Loss: 0.0020, Relative Loss: 0.0246
Epoch 51/100, Training Loss: 0.0019, Relative Loss: 0.0234
Epoch 61/100, Training Loss: 0.0019, Relative Loss: 0.0224
Epoch 71/100, Training Loss: 0.0018, Relative Loss: 0.0219
Epoch 81/100, Training Loss: 0.0018, Relative Loss: 0.0214
Epoch 91/100, Training Loss: 0.0017, Relative Loss: 0.0209
Test Loss: 0.0016, Relative Loss: 0.0192
