
Epoch 1/100, Training Loss: 0.1838, Relative Loss: 0.4600
Epoch 11/100, Training Loss: 0.0687, Relative Loss: 0.1719
Epoch 21/100, Training Loss: 0.0545, Relative Loss: 0.1364
Epoch 31/100, Training Loss: 0.0478, Relative Loss: 0.1198
Epoch 41/100, Training Loss: 0.0350, Relative Loss: 0.0877
Epoch 51/100, Training Loss: 0.0273, Relative Loss: 0.0684
Epoch 61/100, Training Loss: 0.0254, Relative Loss: 0.0635
Epoch 71/100, Training Loss: 0.0244, Relative Loss: 0.0612
Epoch 81/100, Training Loss: 0.0216, Relative Loss: 0.0541
Epoch 91/100, Training Loss: 0.0188, Relative Loss: 0.0469
Test Loss: 0.0186, Relative Loss: 0.0466
