
Epoch 1/100, Training Loss: 0.0899, Relative Loss: 0.1486
Epoch 11/100, Training Loss: 0.0121, Relative Loss: 0.0201
Epoch 21/100, Training Loss: 0.0092, Relative Loss: 0.0153
Epoch 31/100, Training Loss: 0.0072, Relative Loss: 0.0119
Epoch 41/100, Training Loss: 0.0056, Relative Loss: 0.0092
Epoch 51/100, Training Loss: 0.0048, Relative Loss: 0.0080
Epoch 61/100, Training Loss: 0.0044, Relative Loss: 0.0072
Epoch 71/100, Training Loss: 0.0040, Relative Loss: 0.0066
Epoch 81/100, Training Loss: 0.0037, Relative Loss: 0.0061
Epoch 91/100, Training Loss: 0.0034, Relative Loss: 0.0057
Test Loss: 0.0034, Relative Loss: 0.0056
