
Epoch 1/100, Training Loss: 1223.4682, Relative Loss: 85.6914
Epoch 11/100, Training Loss: 3.0017, Relative Loss: 0.2102
Epoch 21/100, Training Loss: 2.5249, Relative Loss: 0.1768
Epoch 31/100, Training Loss: 2.3230, Relative Loss: 0.1627
Epoch 41/100, Training Loss: 2.0237, Relative Loss: 0.1417
Epoch 51/100, Training Loss: 1.8953, Relative Loss: 0.1327
Epoch 61/100, Training Loss: 1.8303, Relative Loss: 0.1282
Epoch 71/100, Training Loss: 1.7300, Relative Loss: 0.1212
Epoch 81/100, Training Loss: 1.5081, Relative Loss: 0.1056
Epoch 91/100, Training Loss: 1.4169, Relative Loss: 0.0992
Test Loss: 1.2695, Relative Loss: 0.0889
