
Epoch 1/100, Training Loss: 0.1080, Relative Loss: 0.4023
Epoch 11/100, Training Loss: 0.0036, Relative Loss: 0.0134
Epoch 21/100, Training Loss: 0.0027, Relative Loss: 0.0101
Epoch 31/100, Training Loss: 0.0024, Relative Loss: 0.0088
Epoch 41/100, Training Loss: 0.0021, Relative Loss: 0.0079
Epoch 51/100, Training Loss: 0.0019, Relative Loss: 0.0071
Epoch 61/100, Training Loss: 0.0018, Relative Loss: 0.0066
Epoch 71/100, Training Loss: 0.0017, Relative Loss: 0.0062
Epoch 81/100, Training Loss: 0.0016, Relative Loss: 0.0058
Epoch 91/100, Training Loss: 0.0015, Relative Loss: 0.0057
Test Loss: 0.0014, Relative Loss: 0.0051
