
Epoch 1/100, Training Loss: 1.8103, Relative Loss: 1.5779
Epoch 11/100, Training Loss: 0.6773, Relative Loss: 0.5903
Epoch 21/100, Training Loss: 0.5875, Relative Loss: 0.5121
Epoch 31/100, Training Loss: 0.5560, Relative Loss: 0.4846
Epoch 41/100, Training Loss: 0.5422, Relative Loss: 0.4726
Epoch 51/100, Training Loss: 0.5290, Relative Loss: 0.4611
Epoch 61/100, Training Loss: 0.5175, Relative Loss: 0.4511
Epoch 71/100, Training Loss: 0.5108, Relative Loss: 0.4452
Epoch 81/100, Training Loss: 0.5033, Relative Loss: 0.4387
Epoch 91/100, Training Loss: 0.4954, Relative Loss: 0.4319
Test Loss: 0.4811, Relative Loss: 0.4193
