
Epoch 1/100, Training Loss: 1131.4354, Relative Loss: 86.4919
Epoch 11/100, Training Loss: 14.9920, Relative Loss: 1.1461
Epoch 21/100, Training Loss: 12.0755, Relative Loss: 0.9231
Epoch 31/100, Training Loss: 11.0778, Relative Loss: 0.8468
Epoch 41/100, Training Loss: 10.4929, Relative Loss: 0.8021
Epoch 51/100, Training Loss: 10.0184, Relative Loss: 0.7659
Epoch 61/100, Training Loss: 9.7319, Relative Loss: 0.7439
Epoch 71/100, Training Loss: 9.5376, Relative Loss: 0.7291
Epoch 81/100, Training Loss: 9.3426, Relative Loss: 0.7142
Epoch 91/100, Training Loss: 9.3033, Relative Loss: 0.7112
Test Loss: 9.0224, Relative Loss: 0.6897
