
Epoch 1/100, Training Loss: 0.1162, Relative Loss: 0.7238
Epoch 11/100, Training Loss: 0.0111, Relative Loss: 0.0689
Epoch 21/100, Training Loss: 0.0069, Relative Loss: 0.0429
Epoch 31/100, Training Loss: 0.0054, Relative Loss: 0.0338
Epoch 41/100, Training Loss: 0.0048, Relative Loss: 0.0302
Epoch 51/100, Training Loss: 0.0044, Relative Loss: 0.0275
Epoch 61/100, Training Loss: 0.0041, Relative Loss: 0.0258
Epoch 71/100, Training Loss: 0.0040, Relative Loss: 0.0247
Epoch 81/100, Training Loss: 0.0038, Relative Loss: 0.0235
Epoch 91/100, Training Loss: 0.0037, Relative Loss: 0.0230
Test Loss: 0.0037, Relative Loss: 0.0231
