
Epoch 1/100, Training Loss: 64.7251, Relative Loss: 14.4503
Epoch 11/100, Training Loss: 4.5767, Relative Loss: 1.0218
Epoch 21/100, Training Loss: 3.2016, Relative Loss: 0.7148
Epoch 31/100, Training Loss: 2.9196, Relative Loss: 0.6518
Epoch 41/100, Training Loss: 2.7663, Relative Loss: 0.6176
Epoch 51/100, Training Loss: 2.6333, Relative Loss: 0.5879
Epoch 61/100, Training Loss: 2.5417, Relative Loss: 0.5674
Epoch 71/100, Training Loss: 2.4629, Relative Loss: 0.5499
Epoch 81/100, Training Loss: 2.4283, Relative Loss: 0.5421
Epoch 91/100, Training Loss: 2.3801, Relative Loss: 0.5314
Test Loss: 2.4239, Relative Loss: 0.5411
