
Epoch 1/100, Training Loss: 0.0188, Relative Loss: 0.2265
Epoch 11/100, Training Loss: 0.0031, Relative Loss: 0.0378
Epoch 21/100, Training Loss: 0.0026, Relative Loss: 0.0307
Epoch 31/100, Training Loss: 0.0023, Relative Loss: 0.0273
Epoch 41/100, Training Loss: 0.0021, Relative Loss: 0.0250
Epoch 51/100, Training Loss: 0.0019, Relative Loss: 0.0232
Epoch 61/100, Training Loss: 0.0019, Relative Loss: 0.0225
Epoch 71/100, Training Loss: 0.0018, Relative Loss: 0.0217
Epoch 81/100, Training Loss: 0.0018, Relative Loss: 0.0211
Epoch 91/100, Training Loss: 0.0017, Relative Loss: 0.0207
Test Loss: 0.0016, Relative Loss: 0.0194
