
Epoch 1/100, Training Loss: 0.0177, Relative Loss: 0.2137
Epoch 11/100, Training Loss: 0.0032, Relative Loss: 0.0380
Epoch 21/100, Training Loss: 0.0025, Relative Loss: 0.0304
Epoch 31/100, Training Loss: 0.0023, Relative Loss: 0.0272
Epoch 41/100, Training Loss: 0.0021, Relative Loss: 0.0255
Epoch 51/100, Training Loss: 0.0020, Relative Loss: 0.0237
Epoch 61/100, Training Loss: 0.0019, Relative Loss: 0.0225
Epoch 71/100, Training Loss: 0.0018, Relative Loss: 0.0220
Epoch 81/100, Training Loss: 0.0018, Relative Loss: 0.0213
Epoch 91/100, Training Loss: 0.0017, Relative Loss: 0.0207
Test Loss: 0.0015, Relative Loss: 0.0180
