
Epoch 1/100, Training Loss: 0.0157, Relative Loss: 0.1888
Epoch 11/100, Training Loss: 0.0031, Relative Loss: 0.0379
Epoch 21/100, Training Loss: 0.0025, Relative Loss: 0.0297
Epoch 31/100, Training Loss: 0.0022, Relative Loss: 0.0263
Epoch 41/100, Training Loss: 0.0020, Relative Loss: 0.0243
Epoch 51/100, Training Loss: 0.0019, Relative Loss: 0.0233
Epoch 61/100, Training Loss: 0.0019, Relative Loss: 0.0223
Epoch 71/100, Training Loss: 0.0018, Relative Loss: 0.0217
Epoch 81/100, Training Loss: 0.0018, Relative Loss: 0.0212
Epoch 91/100, Training Loss: 0.0017, Relative Loss: 0.0207
Test Loss: 0.0016, Relative Loss: 0.0198
