
Epoch 1/100, Training Loss: 0.0198, Relative Loss: 0.2389
Epoch 11/100, Training Loss: 0.0031, Relative Loss: 0.0374
Epoch 21/100, Training Loss: 0.0025, Relative Loss: 0.0299
Epoch 31/100, Training Loss: 0.0022, Relative Loss: 0.0266
Epoch 41/100, Training Loss: 0.0020, Relative Loss: 0.0246
Epoch 51/100, Training Loss: 0.0020, Relative Loss: 0.0236
Epoch 61/100, Training Loss: 0.0019, Relative Loss: 0.0225
Epoch 71/100, Training Loss: 0.0018, Relative Loss: 0.0218
Epoch 81/100, Training Loss: 0.0017, Relative Loss: 0.0209
Epoch 91/100, Training Loss: 0.0017, Relative Loss: 0.0207
Test Loss: 0.0015, Relative Loss: 0.0182
