
Epoch 1/100, Training Loss: 0.0161, Relative Loss: 0.1944
Epoch 11/100, Training Loss: 0.0031, Relative Loss: 0.0374
Epoch 21/100, Training Loss: 0.0025, Relative Loss: 0.0301
Epoch 31/100, Training Loss: 0.0023, Relative Loss: 0.0272
Epoch 41/100, Training Loss: 0.0021, Relative Loss: 0.0250
Epoch 51/100, Training Loss: 0.0020, Relative Loss: 0.0239
Epoch 61/100, Training Loss: 0.0019, Relative Loss: 0.0229
Epoch 71/100, Training Loss: 0.0019, Relative Loss: 0.0227
Epoch 81/100, Training Loss: 0.0018, Relative Loss: 0.0221
Epoch 91/100, Training Loss: 0.0018, Relative Loss: 0.0214
Test Loss: 0.0017, Relative Loss: 0.0201
