
Epoch 1/100, Training Loss: 0.1822, Relative Loss: 0.4561
Epoch 11/100, Training Loss: 0.0703, Relative Loss: 0.1759
Epoch 21/100, Training Loss: 0.0560, Relative Loss: 0.1401
Epoch 31/100, Training Loss: 0.0404, Relative Loss: 0.1011
Epoch 41/100, Training Loss: 0.0319, Relative Loss: 0.0799
Epoch 51/100, Training Loss: 0.0279, Relative Loss: 0.0699
Epoch 61/100, Training Loss: 0.0240, Relative Loss: 0.0600
Epoch 71/100, Training Loss: 0.0227, Relative Loss: 0.0569
Epoch 81/100, Training Loss: 0.0209, Relative Loss: 0.0523
Epoch 91/100, Training Loss: 0.0186, Relative Loss: 0.0466
Test Loss: 0.0200, Relative Loss: 0.0501
