
Epoch 1/100, Training Loss: 0.1825, Relative Loss: 0.4570
Epoch 11/100, Training Loss: 0.0803, Relative Loss: 0.2011
Epoch 21/100, Training Loss: 0.0540, Relative Loss: 0.1352
Epoch 31/100, Training Loss: 0.0398, Relative Loss: 0.0996
Epoch 41/100, Training Loss: 0.0358, Relative Loss: 0.0895
Epoch 51/100, Training Loss: 0.0344, Relative Loss: 0.0860
Epoch 61/100, Training Loss: 0.0332, Relative Loss: 0.0831
Epoch 71/100, Training Loss: 0.0325, Relative Loss: 0.0813
Epoch 81/100, Training Loss: 0.0318, Relative Loss: 0.0795
Epoch 91/100, Training Loss: 0.0305, Relative Loss: 0.0763
Test Loss: 0.0276, Relative Loss: 0.0690
