
Epoch 1/100, Training Loss: 0.1824, Relative Loss: 0.4566
Epoch 11/100, Training Loss: 0.0739, Relative Loss: 0.1850
Epoch 21/100, Training Loss: 0.0608, Relative Loss: 0.1522
Epoch 31/100, Training Loss: 0.0466, Relative Loss: 0.1168
Epoch 41/100, Training Loss: 0.0422, Relative Loss: 0.1057
Epoch 51/100, Training Loss: 0.0322, Relative Loss: 0.0807
Epoch 61/100, Training Loss: 0.0248, Relative Loss: 0.0622
Epoch 71/100, Training Loss: 0.0212, Relative Loss: 0.0532
Epoch 81/100, Training Loss: 0.0195, Relative Loss: 0.0488
Epoch 91/100, Training Loss: 0.0188, Relative Loss: 0.0470
Test Loss: 0.0189, Relative Loss: 0.0474
