
Epoch 1/100, Training Loss: 85.4787, Relative Loss: 15.6832
Epoch 11/100, Training Loss: 0.7537, Relative Loss: 0.1383
Epoch 21/100, Training Loss: 0.6261, Relative Loss: 0.1149
Epoch 31/100, Training Loss: 0.5695, Relative Loss: 0.1045
Epoch 41/100, Training Loss: 0.5392, Relative Loss: 0.0989
Epoch 51/100, Training Loss: 0.5193, Relative Loss: 0.0953
Epoch 61/100, Training Loss: 0.4926, Relative Loss: 0.0904
Epoch 71/100, Training Loss: 0.4768, Relative Loss: 0.0875
Epoch 81/100, Training Loss: 0.4670, Relative Loss: 0.0857
Epoch 91/100, Training Loss: 0.4608, Relative Loss: 0.0845
Test Loss: 0.4184, Relative Loss: 0.0768
