
Epoch 1/100, Training Loss: 93.8140, Relative Loss: 17.2125
Epoch 11/100, Training Loss: 0.7385, Relative Loss: 0.1355
Epoch 21/100, Training Loss: 0.6257, Relative Loss: 0.1148
Epoch 31/100, Training Loss: 0.5664, Relative Loss: 0.1039
Epoch 41/100, Training Loss: 0.5304, Relative Loss: 0.0973
Epoch 51/100, Training Loss: 0.5088, Relative Loss: 0.0933
Epoch 61/100, Training Loss: 0.4926, Relative Loss: 0.0904
Epoch 71/100, Training Loss: 0.4746, Relative Loss: 0.0871
Epoch 81/100, Training Loss: 0.4613, Relative Loss: 0.0846
Epoch 91/100, Training Loss: 0.4556, Relative Loss: 0.0836
Test Loss: 0.4629, Relative Loss: 0.0849
