
Epoch 1/100, Training Loss: 93.1860, Relative Loss: 17.0973
Epoch 11/100, Training Loss: 0.7572, Relative Loss: 0.1389
Epoch 21/100, Training Loss: 0.6397, Relative Loss: 0.1174
Epoch 31/100, Training Loss: 0.5697, Relative Loss: 0.1045
Epoch 41/100, Training Loss: 0.5152, Relative Loss: 0.0945
Epoch 51/100, Training Loss: 0.4859, Relative Loss: 0.0891
Epoch 61/100, Training Loss: 0.4666, Relative Loss: 0.0856
Epoch 71/100, Training Loss: 0.4517, Relative Loss: 0.0829
Epoch 81/100, Training Loss: 0.4452, Relative Loss: 0.0817
Epoch 91/100, Training Loss: 0.4300, Relative Loss: 0.0789
Test Loss: 0.3667, Relative Loss: 0.0673
