
Epoch 1/100, Training Loss: 0.0949, Relative Loss: 0.1569
Epoch 11/100, Training Loss: 0.0121, Relative Loss: 0.0200
Epoch 21/100, Training Loss: 0.0090, Relative Loss: 0.0148
Epoch 31/100, Training Loss: 0.0067, Relative Loss: 0.0111
Epoch 41/100, Training Loss: 0.0057, Relative Loss: 0.0094
Epoch 51/100, Training Loss: 0.0052, Relative Loss: 0.0086
Epoch 61/100, Training Loss: 0.0047, Relative Loss: 0.0078
Epoch 71/100, Training Loss: 0.0044, Relative Loss: 0.0072
Epoch 81/100, Training Loss: 0.0040, Relative Loss: 0.0067
Epoch 91/100, Training Loss: 0.0037, Relative Loss: 0.0062
Test Loss: 0.0037, Relative Loss: 0.0061
