
Epoch 1/100, Training Loss: 0.0944, Relative Loss: 0.1561
Epoch 11/100, Training Loss: 0.0119, Relative Loss: 0.0196
Epoch 21/100, Training Loss: 0.0082, Relative Loss: 0.0136
Epoch 31/100, Training Loss: 0.0062, Relative Loss: 0.0103
Epoch 41/100, Training Loss: 0.0055, Relative Loss: 0.0090
Epoch 51/100, Training Loss: 0.0050, Relative Loss: 0.0083
Epoch 61/100, Training Loss: 0.0046, Relative Loss: 0.0076
Epoch 71/100, Training Loss: 0.0043, Relative Loss: 0.0072
Epoch 81/100, Training Loss: 0.0041, Relative Loss: 0.0069
Epoch 91/100, Training Loss: 0.0039, Relative Loss: 0.0065
Test Loss: 0.0038, Relative Loss: 0.0063
