
Epoch 1/100, Training Loss: 0.0981, Relative Loss: 0.1622
Epoch 11/100, Training Loss: 0.0110, Relative Loss: 0.0183
Epoch 21/100, Training Loss: 0.0086, Relative Loss: 0.0142
Epoch 31/100, Training Loss: 0.0064, Relative Loss: 0.0105
Epoch 41/100, Training Loss: 0.0051, Relative Loss: 0.0085
Epoch 51/100, Training Loss: 0.0045, Relative Loss: 0.0075
Epoch 61/100, Training Loss: 0.0038, Relative Loss: 0.0063
Epoch 71/100, Training Loss: 0.0034, Relative Loss: 0.0055
Epoch 81/100, Training Loss: 0.0030, Relative Loss: 0.0050
Epoch 91/100, Training Loss: 0.0027, Relative Loss: 0.0045
Test Loss: 0.0027, Relative Loss: 0.0045
