
Epoch 1/100, Training Loss: 1158.5459, Relative Loss: 81.1442
Epoch 11/100, Training Loss: 2.5042, Relative Loss: 0.1754
Epoch 21/100, Training Loss: 1.9489, Relative Loss: 0.1365
Epoch 31/100, Training Loss: 1.7347, Relative Loss: 0.1215
Epoch 41/100, Training Loss: 1.6496, Relative Loss: 0.1155
Epoch 51/100, Training Loss: 1.5682, Relative Loss: 0.1098
Epoch 61/100, Training Loss: 1.5001, Relative Loss: 0.1051
Epoch 71/100, Training Loss: 1.4375, Relative Loss: 0.1007
Epoch 81/100, Training Loss: 1.3921, Relative Loss: 0.0975
Epoch 91/100, Training Loss: 1.3769, Relative Loss: 0.0964
Test Loss: 1.2119, Relative Loss: 0.0849
