
Epoch 1/100, Training Loss: 1114.0910, Relative Loss: 78.0306
Epoch 11/100, Training Loss: 2.7634, Relative Loss: 0.1935
Epoch 21/100, Training Loss: 2.2395, Relative Loss: 0.1569
Epoch 31/100, Training Loss: 2.0241, Relative Loss: 0.1418
Epoch 41/100, Training Loss: 1.7125, Relative Loss: 0.1199
Epoch 51/100, Training Loss: 1.5899, Relative Loss: 0.1114
Epoch 61/100, Training Loss: 1.5424, Relative Loss: 0.1080
Epoch 71/100, Training Loss: 1.4833, Relative Loss: 0.1039
Epoch 81/100, Training Loss: 1.4314, Relative Loss: 0.1003
Epoch 91/100, Training Loss: 1.4038, Relative Loss: 0.0983
Test Loss: 1.2787, Relative Loss: 0.0896
