
Epoch 1/100, Training Loss: 1197.0881, Relative Loss: 83.8437
Epoch 11/100, Training Loss: 2.6032, Relative Loss: 0.1823
Epoch 21/100, Training Loss: 1.9131, Relative Loss: 0.1340
Epoch 31/100, Training Loss: 1.6571, Relative Loss: 0.1161
Epoch 41/100, Training Loss: 1.5592, Relative Loss: 0.1092
Epoch 51/100, Training Loss: 1.4713, Relative Loss: 0.1031
Epoch 61/100, Training Loss: 1.4415, Relative Loss: 0.1010
Epoch 71/100, Training Loss: 1.3917, Relative Loss: 0.0975
Epoch 81/100, Training Loss: 1.3733, Relative Loss: 0.0962
Epoch 91/100, Training Loss: 1.3519, Relative Loss: 0.0947
Test Loss: 1.4101, Relative Loss: 0.0988
