
Epoch 1/100, Training Loss: 0.1016, Relative Loss: 0.3785
Epoch 11/100, Training Loss: 0.0033, Relative Loss: 0.0122
Epoch 21/100, Training Loss: 0.0024, Relative Loss: 0.0088
Epoch 31/100, Training Loss: 0.0021, Relative Loss: 0.0078
Epoch 41/100, Training Loss: 0.0019, Relative Loss: 0.0071
Epoch 51/100, Training Loss: 0.0017, Relative Loss: 0.0065
Epoch 61/100, Training Loss: 0.0017, Relative Loss: 0.0062
Epoch 71/100, Training Loss: 0.0016, Relative Loss: 0.0059
Epoch 81/100, Training Loss: 0.0015, Relative Loss: 0.0057
Epoch 91/100, Training Loss: 0.0015, Relative Loss: 0.0055
Test Loss: 0.0015, Relative Loss: 0.0057
