
Epoch 1/100, Training Loss: 0.1122, Relative Loss: 0.4181
Epoch 11/100, Training Loss: 0.0033, Relative Loss: 0.0124
Epoch 21/100, Training Loss: 0.0025, Relative Loss: 0.0094
Epoch 31/100, Training Loss: 0.0022, Relative Loss: 0.0083
Epoch 41/100, Training Loss: 0.0020, Relative Loss: 0.0075
Epoch 51/100, Training Loss: 0.0018, Relative Loss: 0.0068
Epoch 61/100, Training Loss: 0.0017, Relative Loss: 0.0062
Epoch 71/100, Training Loss: 0.0016, Relative Loss: 0.0059
Epoch 81/100, Training Loss: 0.0015, Relative Loss: 0.0057
Epoch 91/100, Training Loss: 0.0015, Relative Loss: 0.0054
Test Loss: 0.0014, Relative Loss: 0.0051
