
Epoch 1/100, Training Loss: 0.1067, Relative Loss: 0.3977
Epoch 11/100, Training Loss: 0.0035, Relative Loss: 0.0130
Epoch 21/100, Training Loss: 0.0027, Relative Loss: 0.0099
Epoch 31/100, Training Loss: 0.0023, Relative Loss: 0.0084
Epoch 41/100, Training Loss: 0.0021, Relative Loss: 0.0077
Epoch 51/100, Training Loss: 0.0019, Relative Loss: 0.0073
Epoch 61/100, Training Loss: 0.0018, Relative Loss: 0.0068
Epoch 71/100, Training Loss: 0.0017, Relative Loss: 0.0063
Epoch 81/100, Training Loss: 0.0016, Relative Loss: 0.0060
Epoch 91/100, Training Loss: 0.0015, Relative Loss: 0.0056
Test Loss: 0.0013, Relative Loss: 0.0048
