
Epoch 1/100, Training Loss: 0.1054, Relative Loss: 0.3928
Epoch 11/100, Training Loss: 0.0033, Relative Loss: 0.0123
Epoch 21/100, Training Loss: 0.0025, Relative Loss: 0.0092
Epoch 31/100, Training Loss: 0.0021, Relative Loss: 0.0079
Epoch 41/100, Training Loss: 0.0019, Relative Loss: 0.0072
Epoch 51/100, Training Loss: 0.0018, Relative Loss: 0.0067
Epoch 61/100, Training Loss: 0.0017, Relative Loss: 0.0063
Epoch 71/100, Training Loss: 0.0016, Relative Loss: 0.0061
Epoch 81/100, Training Loss: 0.0016, Relative Loss: 0.0058
Epoch 91/100, Training Loss: 0.0015, Relative Loss: 0.0056
Test Loss: 0.0017, Relative Loss: 0.0063
