
Epoch 1/100, Training Loss: 0.1086, Relative Loss: 0.4046
Epoch 11/100, Training Loss: 0.0031, Relative Loss: 0.0117
Epoch 21/100, Training Loss: 0.0025, Relative Loss: 0.0094
Epoch 31/100, Training Loss: 0.0022, Relative Loss: 0.0082
Epoch 41/100, Training Loss: 0.0020, Relative Loss: 0.0073
Epoch 51/100, Training Loss: 0.0018, Relative Loss: 0.0068
Epoch 61/100, Training Loss: 0.0017, Relative Loss: 0.0065
Epoch 71/100, Training Loss: 0.0017, Relative Loss: 0.0062
Epoch 81/100, Training Loss: 0.0016, Relative Loss: 0.0060
Epoch 91/100, Training Loss: 0.0015, Relative Loss: 0.0057
Test Loss: 0.0016, Relative Loss: 0.0059
