
Epoch 1/100, Training Loss: 1.8367, Relative Loss: 1.6009
Epoch 11/100, Training Loss: 0.7195, Relative Loss: 0.6271
Epoch 21/100, Training Loss: 0.6109, Relative Loss: 0.5325
Epoch 31/100, Training Loss: 0.5550, Relative Loss: 0.4838
Epoch 41/100, Training Loss: 0.5291, Relative Loss: 0.4612
Epoch 51/100, Training Loss: 0.5118, Relative Loss: 0.4461
Epoch 61/100, Training Loss: 0.5028, Relative Loss: 0.4382
Epoch 71/100, Training Loss: 0.4944, Relative Loss: 0.4309
Epoch 81/100, Training Loss: 0.4893, Relative Loss: 0.4265
Epoch 91/100, Training Loss: 0.4843, Relative Loss: 0.4221
Test Loss: 0.4770, Relative Loss: 0.4157
