
Epoch 1/100, Training Loss: 1.8402, Relative Loss: 1.6040
Epoch 11/100, Training Loss: 0.7169, Relative Loss: 0.6248
Epoch 21/100, Training Loss: 0.6048, Relative Loss: 0.5272
Epoch 31/100, Training Loss: 0.5506, Relative Loss: 0.4799
Epoch 41/100, Training Loss: 0.5180, Relative Loss: 0.4515
Epoch 51/100, Training Loss: 0.4944, Relative Loss: 0.4309
Epoch 61/100, Training Loss: 0.4797, Relative Loss: 0.4181
Epoch 71/100, Training Loss: 0.4694, Relative Loss: 0.4092
Epoch 81/100, Training Loss: 0.4606, Relative Loss: 0.4015
Epoch 91/100, Training Loss: 0.4570, Relative Loss: 0.3984
Test Loss: 0.4432, Relative Loss: 0.3863
