
Epoch 1/100, Training Loss: 1.7939, Relative Loss: 1.5636
Epoch 11/100, Training Loss: 0.7136, Relative Loss: 0.6220
Epoch 21/100, Training Loss: 0.5788, Relative Loss: 0.5045
Epoch 31/100, Training Loss: 0.5414, Relative Loss: 0.4719
Epoch 41/100, Training Loss: 0.5135, Relative Loss: 0.4476
Epoch 51/100, Training Loss: 0.4940, Relative Loss: 0.4306
Epoch 61/100, Training Loss: 0.4768, Relative Loss: 0.4156
Epoch 71/100, Training Loss: 0.4659, Relative Loss: 0.4061
Epoch 81/100, Training Loss: 0.4600, Relative Loss: 0.4010
Epoch 91/100, Training Loss: 0.4541, Relative Loss: 0.3958
Test Loss: 0.4515, Relative Loss: 0.3935
