
Epoch 1/100, Training Loss: 1.8240, Relative Loss: 1.5899
Epoch 11/100, Training Loss: 0.6963, Relative Loss: 0.6069
Epoch 21/100, Training Loss: 0.6213, Relative Loss: 0.5416
Epoch 31/100, Training Loss: 0.5897, Relative Loss: 0.5140
Epoch 41/100, Training Loss: 0.5650, Relative Loss: 0.4925
Epoch 51/100, Training Loss: 0.5394, Relative Loss: 0.4702
Epoch 61/100, Training Loss: 0.5225, Relative Loss: 0.4554
Epoch 71/100, Training Loss: 0.5090, Relative Loss: 0.4437
Epoch 81/100, Training Loss: 0.4982, Relative Loss: 0.4342
Epoch 91/100, Training Loss: 0.4910, Relative Loss: 0.4280
Test Loss: 0.4722, Relative Loss: 0.4115
