
Epoch 1/100, Training Loss: 1161.6744, Relative Loss: 88.8035
Epoch 11/100, Training Loss: 14.9222, Relative Loss: 1.1407
Epoch 21/100, Training Loss: 12.0977, Relative Loss: 0.9248
Epoch 31/100, Training Loss: 11.1002, Relative Loss: 0.8485
Epoch 41/100, Training Loss: 10.4161, Relative Loss: 0.7963
Epoch 51/100, Training Loss: 10.0179, Relative Loss: 0.7658
Epoch 61/100, Training Loss: 9.7828, Relative Loss: 0.7478
Epoch 71/100, Training Loss: 9.4959, Relative Loss: 0.7259
Epoch 81/100, Training Loss: 9.3287, Relative Loss: 0.7131
Epoch 91/100, Training Loss: 9.1972, Relative Loss: 0.7031
Test Loss: 9.1419, Relative Loss: 0.6988
