
Epoch 1/100, Training Loss: 1070.0308, Relative Loss: 81.7979
Epoch 11/100, Training Loss: 16.3868, Relative Loss: 1.2527
Epoch 21/100, Training Loss: 12.8502, Relative Loss: 0.9823
Epoch 31/100, Training Loss: 11.8469, Relative Loss: 0.9056
Epoch 41/100, Training Loss: 11.3222, Relative Loss: 0.8655
Epoch 51/100, Training Loss: 10.8830, Relative Loss: 0.8319
Epoch 61/100, Training Loss: 10.4941, Relative Loss: 0.8022
Epoch 71/100, Training Loss: 10.1371, Relative Loss: 0.7749
Epoch 81/100, Training Loss: 9.7899, Relative Loss: 0.7484
Epoch 91/100, Training Loss: 9.5588, Relative Loss: 0.7307
Test Loss: 8.8755, Relative Loss: 0.6785
