
Epoch 1/100, Training Loss: 0.0094, Relative Loss: 0.0927
Epoch 11/100, Training Loss: 0.0000, Relative Loss: 0.0000
Epoch 21/100, Training Loss: 0.0000, Relative Loss: 0.0000
Epoch 31/100, Training Loss: 0.0000, Relative Loss: 0.0000
Epoch 41/100, Training Loss: 0.0000, Relative Loss: 0.0000
Epoch 51/100, Training Loss: 0.0000, Relative Loss: 0.0000
Epoch 61/100, Training Loss: 0.0000, Relative Loss: 0.0000
Epoch 71/100, Training Loss: 0.0000, Relative Loss: 0.0000
Epoch 81/100, Training Loss: 0.0000, Relative Loss: 0.0000
Epoch 91/100, Training Loss: 0.0000, Relative Loss: 0.0000
Test Loss: 0.0000, Relative Loss: 0.0000
