
Epoch 1/100, Training Loss: 560.6559, Relative Loss: 62.7571
Epoch 11/100, Training Loss: 0.1547, Relative Loss: 0.0173
Epoch 21/100, Training Loss: 0.0834, Relative Loss: 0.0093
Epoch 31/100, Training Loss: 0.0700, Relative Loss: 0.0078
Epoch 41/100, Training Loss: 0.0638, Relative Loss: 0.0071
Epoch 51/100, Training Loss: 0.0596, Relative Loss: 0.0067
Epoch 61/100, Training Loss: 0.0555, Relative Loss: 0.0062
Epoch 71/100, Training Loss: 0.0541, Relative Loss: 0.0061
Epoch 81/100, Training Loss: 0.0535, Relative Loss: 0.0060
Epoch 91/100, Training Loss: 0.0528, Relative Loss: 0.0059
Test Loss: 0.0495, Relative Loss: 0.0055
