
Epoch 1/100, Training Loss: 556.8067, Relative Loss: 62.3262
Epoch 11/100, Training Loss: 0.1018, Relative Loss: 0.0114
Epoch 21/100, Training Loss: 0.0813, Relative Loss: 0.0091
Epoch 31/100, Training Loss: 0.0694, Relative Loss: 0.0078
Epoch 41/100, Training Loss: 0.0630, Relative Loss: 0.0071
Epoch 51/100, Training Loss: 0.0602, Relative Loss: 0.0067
Epoch 61/100, Training Loss: 0.0566, Relative Loss: 0.0063
Epoch 71/100, Training Loss: 0.0487, Relative Loss: 0.0054
Epoch 81/100, Training Loss: 0.0455, Relative Loss: 0.0051
Epoch 91/100, Training Loss: 0.0427, Relative Loss: 0.0048
Test Loss: 0.0414, Relative Loss: 0.0046
