
Epoch 1/100, Training Loss: 0.1009, Relative Loss: 0.6281
Epoch 11/100, Training Loss: 0.0125, Relative Loss: 0.0778
Epoch 21/100, Training Loss: 0.0072, Relative Loss: 0.0447
Epoch 31/100, Training Loss: 0.0056, Relative Loss: 0.0350
Epoch 41/100, Training Loss: 0.0049, Relative Loss: 0.0304
Epoch 51/100, Training Loss: 0.0044, Relative Loss: 0.0272
Epoch 61/100, Training Loss: 0.0042, Relative Loss: 0.0260
Epoch 71/100, Training Loss: 0.0038, Relative Loss: 0.0235
Epoch 81/100, Training Loss: 0.0037, Relative Loss: 0.0228
Epoch 91/100, Training Loss: 0.0037, Relative Loss: 0.0229
Test Loss: 0.0032, Relative Loss: 0.0200
