
Epoch 1/100, Training Loss: 0.0924, Relative Loss: 0.5758
Epoch 11/100, Training Loss: 0.0115, Relative Loss: 0.0715
Epoch 21/100, Training Loss: 0.0075, Relative Loss: 0.0466
Epoch 31/100, Training Loss: 0.0055, Relative Loss: 0.0342
Epoch 41/100, Training Loss: 0.0048, Relative Loss: 0.0297
Epoch 51/100, Training Loss: 0.0045, Relative Loss: 0.0278
Epoch 61/100, Training Loss: 0.0042, Relative Loss: 0.0264
Epoch 71/100, Training Loss: 0.0040, Relative Loss: 0.0250
Epoch 81/100, Training Loss: 0.0039, Relative Loss: 0.0240
Epoch 91/100, Training Loss: 0.0037, Relative Loss: 0.0233
Test Loss: 0.0036, Relative Loss: 0.0221
