
Epoch 1/100, Training Loss: 0.0922, Relative Loss: 0.5741
Epoch 11/100, Training Loss: 0.0106, Relative Loss: 0.0658
Epoch 21/100, Training Loss: 0.0061, Relative Loss: 0.0383
Epoch 31/100, Training Loss: 0.0050, Relative Loss: 0.0311
Epoch 41/100, Training Loss: 0.0045, Relative Loss: 0.0277
Epoch 51/100, Training Loss: 0.0042, Relative Loss: 0.0259
Epoch 61/100, Training Loss: 0.0040, Relative Loss: 0.0247
Epoch 71/100, Training Loss: 0.0038, Relative Loss: 0.0238
Epoch 81/100, Training Loss: 0.0036, Relative Loss: 0.0227
Epoch 91/100, Training Loss: 0.0035, Relative Loss: 0.0218
Test Loss: 0.0029, Relative Loss: 0.0181
