
Epoch 1/100, Training Loss: 0.1121, Relative Loss: 0.6981
Epoch 11/100, Training Loss: 0.0115, Relative Loss: 0.0716
Epoch 21/100, Training Loss: 0.0070, Relative Loss: 0.0438
Epoch 31/100, Training Loss: 0.0054, Relative Loss: 0.0334
Epoch 41/100, Training Loss: 0.0047, Relative Loss: 0.0295
Epoch 51/100, Training Loss: 0.0044, Relative Loss: 0.0273
Epoch 61/100, Training Loss: 0.0042, Relative Loss: 0.0263
Epoch 71/100, Training Loss: 0.0038, Relative Loss: 0.0239
Epoch 81/100, Training Loss: 0.0037, Relative Loss: 0.0233
Epoch 91/100, Training Loss: 0.0036, Relative Loss: 0.0225
Test Loss: 0.0032, Relative Loss: 0.0199
