
Epoch 1/100, Training Loss: 5.1354, Relative Loss: 1.8382
Epoch 11/100, Training Loss: 0.5855, Relative Loss: 0.2096
Epoch 21/100, Training Loss: 0.5252, Relative Loss: 0.1880
Epoch 31/100, Training Loss: 0.4904, Relative Loss: 0.1755
Epoch 41/100, Training Loss: 0.4690, Relative Loss: 0.1679
Epoch 51/100, Training Loss: 0.4477, Relative Loss: 0.1602
Epoch 61/100, Training Loss: 0.4290, Relative Loss: 0.1536
Epoch 71/100, Training Loss: 0.4145, Relative Loss: 0.1484
Epoch 81/100, Training Loss: 0.3995, Relative Loss: 0.1430
Epoch 91/100, Training Loss: 0.3855, Relative Loss: 0.1380
Test Loss: 0.3700, Relative Loss: 0.1324
