
Epoch 1/100, Training Loss: 5.1270, Relative Loss: 1.8352
Epoch 11/100, Training Loss: 0.5708, Relative Loss: 0.2043
Epoch 21/100, Training Loss: 0.4899, Relative Loss: 0.1754
Epoch 31/100, Training Loss: 0.4498, Relative Loss: 0.1610
Epoch 41/100, Training Loss: 0.4263, Relative Loss: 0.1526
Epoch 51/100, Training Loss: 0.4109, Relative Loss: 0.1471
Epoch 61/100, Training Loss: 0.4008, Relative Loss: 0.1435
Epoch 71/100, Training Loss: 0.3915, Relative Loss: 0.1401
Epoch 81/100, Training Loss: 0.3849, Relative Loss: 0.1378
Epoch 91/100, Training Loss: 0.3799, Relative Loss: 0.1360
Test Loss: 0.3806, Relative Loss: 0.1362
