
Epoch 1/100, Training Loss: 5.0284, Relative Loss: 1.7999
Epoch 11/100, Training Loss: 0.5577, Relative Loss: 0.1996
Epoch 21/100, Training Loss: 0.4556, Relative Loss: 0.1631
Epoch 31/100, Training Loss: 0.4179, Relative Loss: 0.1496
Epoch 41/100, Training Loss: 0.4040, Relative Loss: 0.1446
Epoch 51/100, Training Loss: 0.3948, Relative Loss: 0.1413
Epoch 61/100, Training Loss: 0.3853, Relative Loss: 0.1379
Epoch 71/100, Training Loss: 0.3770, Relative Loss: 0.1349
Epoch 81/100, Training Loss: 0.3714, Relative Loss: 0.1329
Epoch 91/100, Training Loss: 0.3620, Relative Loss: 0.1296
Test Loss: 0.3496, Relative Loss: 0.1251
