
Epoch 1/100, Training Loss: 61.2421, Relative Loss: 13.6727
Epoch 11/100, Training Loss: 5.1578, Relative Loss: 1.1515
Epoch 21/100, Training Loss: 4.0891, Relative Loss: 0.9129
Epoch 31/100, Training Loss: 3.2268, Relative Loss: 0.7204
Epoch 41/100, Training Loss: 2.8508, Relative Loss: 0.6365
Epoch 51/100, Training Loss: 2.7439, Relative Loss: 0.6126
Epoch 61/100, Training Loss: 2.6357, Relative Loss: 0.5884
Epoch 71/100, Training Loss: 2.5752, Relative Loss: 0.5749
Epoch 81/100, Training Loss: 2.5502, Relative Loss: 0.5694
Epoch 91/100, Training Loss: 2.4942, Relative Loss: 0.5568
Test Loss: 2.3567, Relative Loss: 0.5262
