
Epoch 1/100, Training Loss: 62.3240, Relative Loss: 13.9142
Epoch 11/100, Training Loss: 4.5788, Relative Loss: 1.0223
Epoch 21/100, Training Loss: 3.3371, Relative Loss: 0.7450
Epoch 31/100, Training Loss: 2.9314, Relative Loss: 0.6544
Epoch 41/100, Training Loss: 2.7652, Relative Loss: 0.6173
Epoch 51/100, Training Loss: 2.6435, Relative Loss: 0.5902
Epoch 61/100, Training Loss: 2.5683, Relative Loss: 0.5734
Epoch 71/100, Training Loss: 2.5079, Relative Loss: 0.5599
Epoch 81/100, Training Loss: 2.4536, Relative Loss: 0.5478
Epoch 91/100, Training Loss: 2.4084, Relative Loss: 0.5377
Test Loss: 2.5656, Relative Loss: 0.5728
