
Epoch 1/100, Training Loss: 70.4926, Relative Loss: 15.7379
Epoch 11/100, Training Loss: 4.6860, Relative Loss: 1.0462
Epoch 21/100, Training Loss: 3.1755, Relative Loss: 0.7090
Epoch 31/100, Training Loss: 2.8056, Relative Loss: 0.6264
Epoch 41/100, Training Loss: 2.6230, Relative Loss: 0.5856
Epoch 51/100, Training Loss: 2.4885, Relative Loss: 0.5556
Epoch 61/100, Training Loss: 2.4591, Relative Loss: 0.5490
Epoch 71/100, Training Loss: 2.3705, Relative Loss: 0.5292
Epoch 81/100, Training Loss: 2.3486, Relative Loss: 0.5243
Epoch 91/100, Training Loss: 2.3046, Relative Loss: 0.5145
Test Loss: 2.1519, Relative Loss: 0.4804
