
Epoch 1/100, Training Loss: 0.0146, Relative Loss: 0.1765
Epoch 11/100, Training Loss: 0.0027, Relative Loss: 0.0327
Epoch 21/100, Training Loss: 0.0020, Relative Loss: 0.0246
Epoch 31/100, Training Loss: 0.0017, Relative Loss: 0.0202
Epoch 41/100, Training Loss: 0.0015, Relative Loss: 0.0179
Epoch 51/100, Training Loss: 0.0014, Relative Loss: 0.0168
Epoch 61/100, Training Loss: 0.0013, Relative Loss: 0.0158
Epoch 71/100, Training Loss: 0.0012, Relative Loss: 0.0148
Epoch 81/100, Training Loss: 0.0012, Relative Loss: 0.0142
Epoch 91/100, Training Loss: 0.0011, Relative Loss: 0.0135
Test Loss: 0.0010, Relative Loss: 0.0117
