
Epoch 1/100, Training Loss: 0.0156, Relative Loss: 0.1879
Epoch 11/100, Training Loss: 0.0027, Relative Loss: 0.0321
Epoch 21/100, Training Loss: 0.0020, Relative Loss: 0.0239
Epoch 31/100, Training Loss: 0.0017, Relative Loss: 0.0207
Epoch 41/100, Training Loss: 0.0015, Relative Loss: 0.0184
Epoch 51/100, Training Loss: 0.0014, Relative Loss: 0.0170
Epoch 61/100, Training Loss: 0.0013, Relative Loss: 0.0157
Epoch 71/100, Training Loss: 0.0012, Relative Loss: 0.0147
Epoch 81/100, Training Loss: 0.0012, Relative Loss: 0.0143
Epoch 91/100, Training Loss: 0.0011, Relative Loss: 0.0135
Test Loss: 0.0010, Relative Loss: 0.0122
