
Epoch 1/100, Training Loss: 0.0155, Relative Loss: 0.1874
Epoch 11/100, Training Loss: 0.0027, Relative Loss: 0.0329
Epoch 21/100, Training Loss: 0.0021, Relative Loss: 0.0249
Epoch 31/100, Training Loss: 0.0017, Relative Loss: 0.0211
Epoch 41/100, Training Loss: 0.0015, Relative Loss: 0.0183
Epoch 51/100, Training Loss: 0.0014, Relative Loss: 0.0169
Epoch 61/100, Training Loss: 0.0013, Relative Loss: 0.0159
Epoch 71/100, Training Loss: 0.0012, Relative Loss: 0.0149
Epoch 81/100, Training Loss: 0.0012, Relative Loss: 0.0146
Epoch 91/100, Training Loss: 0.0012, Relative Loss: 0.0139
Test Loss: 0.0011, Relative Loss: 0.0127
