
Epoch 1/100, Training Loss: 0.1603, Relative Loss: 0.4012
Epoch 11/100, Training Loss: 0.0584, Relative Loss: 0.1462
Epoch 21/100, Training Loss: 0.0354, Relative Loss: 0.0885
Epoch 31/100, Training Loss: 0.0235, Relative Loss: 0.0588
Epoch 41/100, Training Loss: 0.0200, Relative Loss: 0.0502
Epoch 51/100, Training Loss: 0.0177, Relative Loss: 0.0444
Epoch 61/100, Training Loss: 0.0163, Relative Loss: 0.0408
Epoch 71/100, Training Loss: 0.0156, Relative Loss: 0.0390
Epoch 81/100, Training Loss: 0.0147, Relative Loss: 0.0367
Epoch 91/100, Training Loss: 0.0141, Relative Loss: 0.0353
Test Loss: 0.0130, Relative Loss: 0.0326
