
Epoch 1/100, Training Loss: 0.1596, Relative Loss: 0.3997
Epoch 11/100, Training Loss: 0.0585, Relative Loss: 0.1466
Epoch 21/100, Training Loss: 0.0326, Relative Loss: 0.0816
Epoch 31/100, Training Loss: 0.0228, Relative Loss: 0.0572
Epoch 41/100, Training Loss: 0.0198, Relative Loss: 0.0497
Epoch 51/100, Training Loss: 0.0182, Relative Loss: 0.0455
Epoch 61/100, Training Loss: 0.0171, Relative Loss: 0.0427
Epoch 71/100, Training Loss: 0.0163, Relative Loss: 0.0407
Epoch 81/100, Training Loss: 0.0152, Relative Loss: 0.0381
Epoch 91/100, Training Loss: 0.0146, Relative Loss: 0.0366
Test Loss: 0.0131, Relative Loss: 0.0327
