
Epoch 1/100, Training Loss: 0.1632, Relative Loss: 0.4085
Epoch 11/100, Training Loss: 0.0603, Relative Loss: 0.1511
Epoch 21/100, Training Loss: 0.0356, Relative Loss: 0.0890
Epoch 31/100, Training Loss: 0.0223, Relative Loss: 0.0559
Epoch 41/100, Training Loss: 0.0190, Relative Loss: 0.0475
Epoch 51/100, Training Loss: 0.0178, Relative Loss: 0.0445
Epoch 61/100, Training Loss: 0.0169, Relative Loss: 0.0422
Epoch 71/100, Training Loss: 0.0160, Relative Loss: 0.0400
Epoch 81/100, Training Loss: 0.0152, Relative Loss: 0.0380
Epoch 91/100, Training Loss: 0.0146, Relative Loss: 0.0366
Test Loss: 0.0122, Relative Loss: 0.0306
