
Epoch 1/100, Training Loss: 0.1591, Relative Loss: 0.3983
Epoch 11/100, Training Loss: 0.0593, Relative Loss: 0.1484
Epoch 21/100, Training Loss: 0.0351, Relative Loss: 0.0880
Epoch 31/100, Training Loss: 0.0234, Relative Loss: 0.0586
Epoch 41/100, Training Loss: 0.0195, Relative Loss: 0.0489
Epoch 51/100, Training Loss: 0.0179, Relative Loss: 0.0448
Epoch 61/100, Training Loss: 0.0163, Relative Loss: 0.0408
Epoch 71/100, Training Loss: 0.0150, Relative Loss: 0.0376
Epoch 81/100, Training Loss: 0.0144, Relative Loss: 0.0361
Epoch 91/100, Training Loss: 0.0138, Relative Loss: 0.0346
Test Loss: 0.0128, Relative Loss: 0.0320
