
Epoch 1/100, Training Loss: 65.3072, Relative Loss: 11.9822
Epoch 11/100, Training Loss: 0.6884, Relative Loss: 0.1263
Epoch 21/100, Training Loss: 0.5504, Relative Loss: 0.1010
Epoch 31/100, Training Loss: 0.4712, Relative Loss: 0.0865
Epoch 41/100, Training Loss: 0.4205, Relative Loss: 0.0771
Epoch 51/100, Training Loss: 0.3788, Relative Loss: 0.0695
Epoch 61/100, Training Loss: 0.3567, Relative Loss: 0.0654
Epoch 71/100, Training Loss: 0.3258, Relative Loss: 0.0598
Epoch 81/100, Training Loss: 0.3010, Relative Loss: 0.0552
Epoch 91/100, Training Loss: 0.2910, Relative Loss: 0.0534
Test Loss: 0.2630, Relative Loss: 0.0483
