
Epoch 1/100, Training Loss: 68.4440, Relative Loss: 12.5577
Epoch 11/100, Training Loss: 0.6785, Relative Loss: 0.1245
Epoch 21/100, Training Loss: 0.5512, Relative Loss: 0.1011
Epoch 31/100, Training Loss: 0.4955, Relative Loss: 0.0909
Epoch 41/100, Training Loss: 0.4363, Relative Loss: 0.0801
Epoch 51/100, Training Loss: 0.3998, Relative Loss: 0.0734
Epoch 61/100, Training Loss: 0.3683, Relative Loss: 0.0676
Epoch 71/100, Training Loss: 0.3474, Relative Loss: 0.0637
Epoch 81/100, Training Loss: 0.3327, Relative Loss: 0.0610
Epoch 91/100, Training Loss: 0.3151, Relative Loss: 0.0578
Test Loss: 0.2851, Relative Loss: 0.0523
