
Epoch 1/100, Training Loss: 0.0601, Relative Loss: 0.0994
Epoch 11/100, Training Loss: 0.0075, Relative Loss: 0.0123
Epoch 21/100, Training Loss: 0.0050, Relative Loss: 0.0083
Epoch 31/100, Training Loss: 0.0037, Relative Loss: 0.0061
Epoch 41/100, Training Loss: 0.0030, Relative Loss: 0.0049
Epoch 51/100, Training Loss: 0.0025, Relative Loss: 0.0042
Epoch 61/100, Training Loss: 0.0023, Relative Loss: 0.0038
Epoch 71/100, Training Loss: 0.0021, Relative Loss: 0.0034
Epoch 81/100, Training Loss: 0.0018, Relative Loss: 0.0030
Epoch 91/100, Training Loss: 0.0018, Relative Loss: 0.0029
Test Loss: 0.0017, Relative Loss: 0.0028
